userid,catboost_predict_roof_fold5_lr0.14_l2_leaf_reg5_subsample0.86_depth7_seed2633
100000000013,0.000301152726441
100000000111,0.676533612898
100000000127,0.0375821015926
100000000231,0.00543048439699
100000000379,0.000541222429451
100000000393,7.51611139979e-05
100000000423,0.00829209121385
100000000459,0.944744117665
100000000465,0.00305555761071
100000000471,0.00406507318952
100000000637,0.496987413388
100000000695,0.979736668097
100000000745,0.00980101838583
100000000755,0.00167841530676
100000000867,0.949326805707
100000000949,0.013484743155
100000000975,0.927620702733
100000001023,0.985217714505
100000001195,0.0301967466639
100000001231,0.00782482719085
100000001295,0.0050338858909
100000001343,0.00183981463096
100000001505,0.999934115766
100000001557,0.00413668493968
100000001683,0.0139168280538
100000001711,0.00479369276663
100000001803,0.00016988834418
100000001955,0.0565904387021
100000001963,0.00435598899703
100000002111,0.0155830961348
100000002165,0.0115048594569
100000002179,0.0056667184083
100000002199,0.425826157885
100000002215,0.9008884614
100000002243,0.0160186068361
100000002245,0.00592036934722
100000002271,0.0953017645088
100000002307,0.00150282860408
100000002363,0.000387022538846
100000002371,0.0373064895489
100000002535,0.00951399652596
100000002581,0.0117714047271
100000002653,0.00543296429739
100000002811,0.000206736773527
100000002873,0.0396518766653
100000002879,0.000647160347719
100000003091,0.859421398693
100000003097,0.00917923978075
100000003311,2.65619005814e-05
100000003461,0.999911846366
100000003483,0.000518327985718
100000003559,0.00530657150398
100000003611,0.815602581399
100000003639,0.000419610107808
100000003685,0.0351678916783
100000003805,0.000985665425605
100000003875,0.0387476849479
100000003891,6.72108391594e-05
100000003941,0.000769151657675
100000004163,0.0345793072004
100000004223,0.0030786738587
100000004277,0.0233337615234
100000004297,0.350415681778
100000004303,0.0115409359576
100000004317,0.000568640197218
100000004319,0.000234966694229
100000004359,0.00322151731042
100000004429,0.0079951689002
100000004453,0.00564005326224
100000004529,8.99748560549e-05
100000004867,0.00137943905575
100000005007,0.995942340697
100000005091,0.0086020724173
100000005125,0.0108564528535
100000005513,0.00152986559734
100000005649,0.921074003216
100000005719,0.011165709518
100000005739,0.034803597609
100000005755,0.0159173535461
100000005805,0.360508129084
100000005955,0.00739964653108
100000006005,0.0332590919876
100000006013,0.00229763560173
100000006081,0.69429487897
100000006123,0.473281622207
100000006395,0.00285295769379
