userid,lgbm_roof_fold5_lr0.01_numleaves34_minchildweight5_featurefraction0.3_baggingfraction0.56_l1-0.5_l2-3.0seed47
100000000013,0.0039041048904600068
100000000111,0.7791363159614106
100000000127,0.08485243215652293
100000000231,0.059918402244143645
100000000379,0.0018059912414031642
100000000393,0.0005163040175663888
100000000423,0.020862732643052512
100000000459,0.025486914858121216
100000000465,0.003975423845397086
100000000471,0.009553649456009759
100000000637,0.8801996620275024
100000000695,0.9857943889988742
100000000745,0.005791340057722688
100000000755,0.005157682009284772
100000000867,0.9801528874244008
100000000949,0.011429822447480623
100000000975,0.7890558011758658
100000001023,0.9988240668923719
100000001195,0.04114081792977072
100000001231,0.006015093605023854
100000001295,0.0055823358643559825
100000001343,0.004278754720093168
100000001505,0.9997652489163883
100000001557,0.00520270870886189
100000001683,0.02330071750064194
100000001711,0.025217473270005293
100000001803,0.00036992640550461905
100000001955,0.11386932353431502
100000001963,0.0058507710759496704
100000002111,0.01101821490421542
100000002165,0.009637835368343747
100000002179,0.008540842815135823
100000002199,0.6257888322237646
100000002215,0.8767834217289507
100000002243,0.025640058272477825
100000002245,0.005223026430877619
100000002271,0.2879277483121104
100000002307,0.002994484996904833
100000002363,0.0015513664316458178
100000002371,0.01185580733331082
100000002535,0.010435630874330977
100000002581,0.04001369935154006
100000002653,0.022714624504590993
100000002811,0.0004830799599487596
100000002873,0.03692046394878786
100000002879,0.0051936516209604286
100000003091,0.5376135552811246
100000003097,0.015026714036777673
100000003311,0.0004627668493626212
100000003461,0.9982192084401201
100000003483,0.00043217986175531217
100000003559,0.005989459042684501
100000003611,0.9502947425959563
100000003639,0.0005789214823619539
100000003685,0.033986406492153655
100000003805,0.00323541497849443
100000003875,0.11988961953498609
100000003891,0.0006260083455900798
100000003941,0.00655993561571854
100000004163,0.009746117896806922
100000004223,0.011133297354630601
100000004277,0.05502075017666363
100000004297,0.5935660875731539
100000004303,0.02139694095536358
100000004317,0.001627436458265396
100000004319,0.001050749510521298
100000004359,0.01276014010035525
100000004429,0.001914054435356874
100000004453,0.0031024482060490366
100000004529,0.0028548618834219885
100000004867,0.016878958578805815
100000005007,0.9939965050754049
100000005091,0.006780287058697498
100000005125,0.005936973811770759
100000005513,0.004656757353692323
100000005649,0.9710970529840741
100000005719,0.01650632166881934
100000005739,0.04494837754386904
100000005755,0.058948528689256284
100000005805,0.21141610522140436
100000005955,0.009631935853600889
100000006005,0.05488921455159112
100000006013,0.002211347639440908
100000006081,0.15930026441595524
100000006123,0.14929155709226333
100000006395,0.006138846011339052
100000006487,0.0007664251727597128
100000006539,0.7614892149947046
100000006569,0.001113745566947647
100000006605,0.022485207512850373
100000006647,0.008364193832296599
100000006857,0.0029193606690923446
100000006933,0.006266338756992491
100000006981,0.014909057154600993
100000007073,0.15128136094117428
100000007079,0.001509503177687303
100000007283,0.00583340945576489
100000007329,0.0031948468241704696
100000007367,0.2644957969016253
100000007409,0.027098579101894664
100000007457,0.02704184016705408
100000007533,0.012296368209373219
100000007609,0.006705480336290985
100000007639,0.0005480112115424366
100000007745,0.20419850126330474
100000007753,0.004513069923174599
100000007785,0.0007975671718732701
100000008119,0.9986103081109905
100000008253,0.8901402539291013
100000008425,0.9859647268442187
100000008481,0.06248204471324462
100000008483,0.08028005478455236
100000008529,0.0011741027981701864
100000008565,0.00022651951441171286
100000008995,0.014081479273864744
100000009017,0.9975830908664687
100000009249,0.2154044553228114
100000009417,0.17412882727167947
100000009463,0.0209900541852442
100000009481,0.8197433405554083
100000009491,0.8624838548125532
100000009583,0.004531414087552946
100000009611,0.0012057539657709272
100000009743,0.04145859964873769
100000009771,0.0048110676136345525
100000009773,0.9986624806235838
100000009807,0.0018694523032985453
100000009925,0.9989795301636314
100000010101,0.9682942552712144
100000010161,0.029862444126261236
100000010177,0.002316894850847985
100000010199,0.9988415817450301
100000010239,0.00030735777821330713
100000010247,0.013224719596904572
100000010249,0.09065595860806396
100000010279,0.28766260258166165
100000010287,0.5164831351350052
100000010293,0.009648535626620835
100000010297,0.006108913753987865
100000011105,0.00807222776185029
100000011131,0.023945530029294806
100000011325,0.010494453896769023
100000011427,0.004142400983760302
100000011573,0.007056045061895776
100000011591,0.2111274383877952
100000011653,0.00019239129196094336
100000011741,0.004870772882139052
100000011755,0.18102169753687827
100000011763,0.011492629579789956
100000011845,0.059676228541307025
100000011933,0.0012376610062391213
100000012027,0.002798777477882173
100000012133,0.0018991906771745255
100000012137,0.010369470893388369
