userid,lgbm_roof_fold3_lr0.035_numleaves31_minchildweight4_featurefraction0.35_baggingfraction0.55_l1-0.5_l2-4.0seed8451
100000000013,0.007061355138425588
100000000111,0.8215151164850261
100000000127,0.09844461597651893
100000000231,0.043612420453909076
100000000379,0.00131726814159509
100000000393,0.0004777022285546223
100000000423,0.019565673470619036
100000000459,0.02641118956675661
100000000465,0.0011061589365191288
100000000471,0.003713387998873534
100000000637,0.9159866022102764
100000000695,0.9905293074531255
100000000745,0.0012066866419844962
100000000755,0.006730036760027876
100000000867,0.9810404816763888
100000000949,0.007776773542453935
100000000975,0.5717676258748221
100000001023,0.9993798864367914
100000001195,0.02652886728095775
100000001231,0.006088307663281081
100000001295,0.004836134296535794
100000001343,0.0016370248734924862
100000001505,0.9996358637495414
100000001557,0.013772696645699632
100000001683,0.022031936847158123
100000001711,0.020879065256089183
100000001803,0.0004432308655829022
100000001955,0.05231050956140535
100000001963,0.0056721046312377685
100000002111,0.010100917083563678
100000002165,0.005855308253066831
100000002179,0.011831026376906811
100000002199,0.7119066905858411
100000002215,0.8778078541321765
100000002243,0.012280709382966472
100000002245,0.006771408872066866
100000002271,0.1425349513669105
100000002307,0.002762965988639663
100000002363,0.0009916167253390532
100000002371,0.013816864686194447
100000002535,0.022350155808263897
100000002581,0.04450489509309074
100000002653,0.01448233395435029
100000002811,0.0005754894133765156
100000002873,0.02804404724310668
100000002879,0.003904820610363366
100000003091,0.6692529231531862
100000003097,0.005035748802461127
100000003311,0.0006223424368870944
100000003461,0.9977717911397568
100000003483,0.0004820406554991957
100000003559,0.006913775195590344
100000003611,0.882103114235587
100000003639,0.000561068536619397
100000003685,0.09209901604525927
100000003805,0.0011554687595366443
100000003875,0.17068136395589337
100000003891,0.00031493159005297513
100000003941,0.005353475578798575
100000004163,0.007048242904541842
100000004223,0.011908627994958504
100000004277,0.07462504721104053
100000004297,0.6996050886627524
100000004303,0.020536683636077656
100000004317,0.0016871721901262566
100000004319,0.0004344977521183464
100000004359,0.010576531167559189
100000004429,0.0023323945976477245
100000004453,0.0017859327786723218
100000004529,0.0014586533363764426
100000004867,0.011618423230146864
100000005007,0.9924369600927003
100000005091,0.003410673561521938
100000005125,0.003988555853484085
100000005513,0.005085414881548294
100000005649,0.9785933150418155
100000005719,0.03167906957996917
100000005739,0.0648997257204182
100000005755,0.04679232809868953
100000005805,0.24072721000113134
100000005955,0.011656157785777884
100000006005,0.07388341798019661
100000006013,0.0009069342826017353
100000006081,0.07454673762777791
100000006123,0.21912462186630402
100000006395,0.005223712843268892
100000006487,0.0011607999048478567
100000006539,0.807059738908165
100000006569,0.0011890642219552828
100000006605,0.01315245936616858
100000006647,0.02248121467215254
100000006857,0.002186068608662151
100000006933,0.005058346902543532
100000006981,0.0032184814381868644
100000007073,0.03509872145843078
100000007079,0.0030230608975487633
100000007283,0.005629632755904938
100000007329,0.009015658054039097
100000007367,0.21204832060343265
100000007409,0.02134199589173554
100000007457,0.009002517771519551
100000007533,0.008233510508673242
100000007609,0.005880940098511507
100000007639,0.0004490518289705663
100000007745,0.1453061996202027
100000007753,0.0063161306944485435
100000007785,0.0009698651803644495
100000008119,0.9978572364492302
100000008253,0.8697772782259089
100000008425,0.9942615984066852
100000008481,0.05455591673400183
100000008483,0.07553281859085843
100000008529,0.0007007751778738887
100000008565,0.0003334142448872868
100000008995,0.019461648784117786
100000009017,0.9958863794060752
100000009249,0.5278183522244277
100000009417,0.1828826870309746
100000009463,0.015094226604652077
100000009481,0.8774467504065548
100000009491,0.5946081704979133
100000009583,0.010625949476238619
100000009611,0.00029874552514507695
100000009743,0.044426162274929196
100000009771,0.006133809247865995
100000009773,0.9990032902510779
100000009807,0.003922546930809938
100000009925,0.9993925554441858
100000010101,0.965694252609133
100000010161,0.03429419365809129
100000010177,0.00371292268263113
100000010199,0.9986369871860432
100000010239,7.533772809443158e-05
100000010247,0.015257496230941768
100000010249,0.1414317003168981
100000010279,0.48456187443570564
100000010287,0.5103198037195544
100000010293,0.005971436487258049
100000010297,0.002543831992051972
100000011105,0.005472315236544683
100000011131,0.010674093952469378
100000011325,0.008343003710700028
100000011427,0.0019995657409527605
100000011573,0.0014517623825184979
100000011591,0.11315371984562206
100000011653,0.00025513298395293707
100000011741,0.003609180108981706
100000011755,0.2643161853348485
100000011763,0.009152342356987267
100000011845,0.014993831029884849
100000011933,0.001164658344563519
100000012027,0.002622706359004626
100000012133,0.0031226707259630715
100000012137,0.018840966062664236
100000012213,0.024383703307471218
100000012219,0.002701478059744683
100000012235,0.003517854618304564
100000012277,0.028671744093807117
100000012341,0.005011904643943096
100000012367,0.0029563071734171123
100000012405,0.40290480630919134
100000012441,0.008245922710533385
100000012507,0.0019037891233983893
100000012713,0.007634400293357474
100000012715,0.013535635431957387
100000012717,0.08039810724056032
100000012719,0.005709320487070425
100000012793,0.0035686534071092094
100000012867,0.9361719466370786
100000012885,0.09903117717098
100000012889,0.0002609988976847992
100000012931,0.40809284432958287
100000012965,0.005926342723369829
100000012981,0.4076647782847731
100000013027,0.00035356516242529925
100000013381,0.000557201076225515
100000013429,0.010391463536394365
100000013461,0.00390704400620994
100000013471,0.1123194225592555
100000013499,0.819983098225864
100000013669,0.03827537801556336
100000013673,0.0054760801142518835
100000013837,0.04499798642821393
100000013965,0.009980048732381425
100000014029,0.9993252661630335
100000014143,0.06127798166251758
100000014259,0.015950698183945178
100000014271,0.8500364816665128
100000014311,0.0009900735994192904
100000014315,0.011719894299243383
100000014383,0.004912124418714222
100000014421,0.09001762288991308
100000014423,0.0017445540409617038
100000014449,0.007054285164523266
100000014641,0.00031352662130751
100000014679,0.018527262835262674
100000014745,0.0107482768778347
100000014865,0.025959544624814757
100000014899,0.0003824210909690021
100000014949,0.9848870110744888
100000014973,0.0013599927026507151
100000014981,0.0002090880893552004
100000015043,0.0011267361627506677
100000015129,0.14538585240024035
100000015145,0.0010919141307025387
100000015153,0.004050169927627177
100000015213,0.005763464889102463
100000015223,0.7668669906389768
100000015275,0.0014797812228627663
100000015433,0.013882934765250815
100000015475,0.13594412176969706
100000015747,0.0014188122988974534
100000015791,0.28381313850639606
100000015969,0.9946040208310465
100000016009,0.004636505354280221
100000016197,0.7422333467202094
100000016219,0.0011349432422151373
100000016265,0.999729447482676
100000016341,0.007709239059003882
100000016351,0.0036282921029174957
100000016391,0.0018119715856672303
100000016831,0.021355322086788954
100000016845,0.00017476911940074257
100000016861,0.036833178808942574
100000016987,0.003070351008388665
100000017177,0.003212867683535217
100000017277,0.9990534707359746
100000017281,0.0013170700546824622
100000017345,0.0029632504355737175
100000017367,0.0030463805290063713
100000017465,0.9976441808756792
100000017469,0.0014077518373528145
100000017505,0.0006739665768263005
100000017691,0.010415671228584701
100000017693,0.10435535990185892
100000017965,0.005756616368062607
100000018097,0.011877763769380269
100000018117,0.0015736419835300011
100000018123,0.03276146247906771
100000018259,0.007305707060572102
100000018413,0.001347129665876432
100000018417,0.0007239362054496867
100000018629,0.9896447315150024
100000018905,0.06647662806888
100000018941,0.4476399301290591
100000018979,0.0014870895040129054
100000019251,0.056762846350589514
100000019375,0.05154663446888932
