userid,lgbm_roof_fold3_lr0.01_numleaves64_minchildweight1_featurefraction0.9_baggingfraction0.7_l1-0.5_l2-0.5seed32
100000000013,0.0025867199378664632
100000000111,0.9232703575885007
100000000127,0.032183016883030616
100000000231,0.08558297004452226
100000000379,0.0001994951583412844
100000000393,0.0005812402054777923
100000000423,0.0032844551297734038
100000000459,0.08155093441138786
100000000465,0.0016937065572151932
100000000471,0.015199437732995816
100000000637,0.9129633384802988
100000000695,0.9458853877247392
100000000745,0.0034097656700921098
100000000755,0.0020305699542176735
100000000867,0.9452602180856078
100000000949,0.0068469764268327
100000000975,0.7277068125113532
100000001023,0.9990233600545104
100000001195,0.06490372705893997
100000001231,0.004578322142113009
100000001295,0.0012275081635112434
100000001343,0.01044532888655979
100000001505,0.9998323843552739
100000001557,0.005572281157127033
100000001683,0.006536045567841651
100000001711,0.004663085017404417
100000001803,0.0003302557399317929
100000001955,0.0864259381813755
100000001963,0.004903953928410625
100000002111,0.0032029739491252875
100000002165,0.011779658436414113
100000002179,0.0028801765581737276
100000002199,0.617275767440438
100000002215,0.9776069974781324
100000002243,0.04997937235774663
100000002245,0.005644573614386655
100000002271,0.0735993104966244
100000002307,0.008172187026888964
100000002363,0.0009467543380013555
100000002371,0.006291237882063009
100000002535,0.005913567719967672
100000002581,0.014914827556860091
100000002653,0.0481619844086625
100000002811,0.0002157865702743907
100000002873,0.024697638146097458
100000002879,0.00398430245910454
100000003091,0.5744690229864328
100000003097,0.0033002526597549304
100000003311,0.00041206369623985684
100000003461,0.9994178992401638
100000003483,0.0010686822638274688
100000003559,0.0032831521500034525
100000003611,0.8991361691870644
100000003639,0.0003930540279408073
100000003685,0.062388301827317694
100000003805,0.0010536909693833988
100000003875,0.2638258946322999
100000003891,0.0008851648240952242
100000003941,0.006415592666718704
100000004163,0.00566435916888538
100000004223,0.0050841611254289435
100000004277,0.03906066525851971
100000004297,0.5058674750154173
100000004303,0.01929705377142578
100000004317,0.0008561090146789195
100000004319,0.0006046766208918043
100000004359,0.008230732689967131
100000004429,0.005342532440954
100000004453,0.0022459822853473674
100000004529,0.0018078539280191324
100000004867,0.004783014954645432
100000005007,0.9957769852905964
100000005091,0.011023256057154644
100000005125,0.0020782032699530172
100000005513,0.003993747322427024
100000005649,0.9320176222566843
100000005719,0.00510563573789337
100000005739,0.03832496593486875
100000005755,0.009536132933047158
100000005805,0.4558547558727783
100000005955,0.002419422346410327
100000006005,0.03002419758126851
100000006013,0.000686227824985602
100000006081,0.25195199466123314
100000006123,0.2785167732716164
100000006395,0.0027494465782064654
100000006487,0.000477335504746107
100000006539,0.6182624074688144
100000006569,0.00025638717386070156
100000006605,0.005481165127433245
100000006647,0.01759069946200389
100000006857,0.000698525141736355
100000006933,0.0030631010404486157
100000006981,0.003600057358909357
100000007073,0.06606355789923772
100000007079,0.000591189194825718
100000007283,0.005116782085232248
100000007329,0.004303832439635003
100000007367,0.17826356881845262
100000007409,0.010255929238447096
100000007457,0.007736182594368984
100000007533,0.004347523097329598
100000007609,0.001300183973654325
100000007639,0.0002995842962547953
100000007745,0.1981645547676782
100000007753,0.006532503458165513
100000007785,0.0008935478085159022
100000008119,0.9994435177777592
100000008253,0.855489535407866
100000008425,0.9790075458205928
100000008481,0.025443940586982836
100000008483,0.11071186426959304
100000008529,0.003048557667279574
