userid,lgbm_roof_fold5_lr0.013_numleaves128_minchildweight4_featurefraction0.91_baggingfraction0.75_l1-0.5_l2-0.5seed47
100000000013,0.0016976612908124573
100000000111,0.9725965711543432
100000000127,0.015375770662719666
100000000231,0.0770301076243373
100000000379,0.0009651859856312311
100000000393,9.72872005053797e-05
100000000423,0.008912490319970238
100000000459,0.09706823922979474
100000000465,0.0017003947826525465
100000000471,0.0052888314996038036
100000000637,0.9720375253013768
100000000695,0.9788737236389954
100000000745,0.007618883806489726
100000000755,0.00043840262736740613
100000000867,0.96808301527509
100000000949,0.003246911408677803
100000000975,0.9058973118134727
100000001023,0.9972377153918008
100000001195,0.033400423536725
100000001231,0.010246764071425664
100000001295,0.003668493550760421
100000001343,0.004511274615543111
100000001505,0.9999025060228096
100000001557,0.012460778881960457
100000001683,0.0012980768394354268
100000001711,0.009314853367943465
100000001803,0.0001548127858359495
100000001955,0.09628723968824932
100000001963,0.0005524111587338586
100000002111,0.0009066319287060598
100000002165,0.00913151772752375
100000002179,0.002023548622992471
100000002199,0.5925186551592804
100000002215,0.9638863206916712
100000002243,0.028149157451184275
100000002245,0.005511014133691133
100000002271,0.08841290463468612
100000002307,0.012967978622380801
100000002363,0.00014889752202184206
100000002371,0.002081412996241045
100000002535,0.006712507419289147
100000002581,0.002822604156050059
100000002653,0.045418453339524156
100000002811,9.449908766374172e-05
100000002873,0.02591266409123905
100000002879,0.003622018592664012
100000003091,0.6664075869688986
100000003097,0.0008132299522510545
100000003311,3.855099542417526e-05
100000003461,0.9988544852074627
100000003483,0.00022936461916492373
100000003559,0.0012424163848968506
100000003611,0.9688506126252605
100000003639,0.00012374057197300472
100000003685,0.038823650354831825
100000003805,0.0010533879090962245
100000003875,0.08446905096579858
100000003891,0.0003007331716386799
100000003941,0.0014960654374287475
100000004163,0.005336041309400702
100000004223,0.008440640196356505
100000004277,0.017130316603585348
100000004297,0.55631878720183
100000004303,0.011114254248350608
100000004317,0.0004885699717659538
100000004319,0.00012141749364104652
100000004359,0.008037509500301486
100000004429,0.0007656460069795606
100000004453,0.000970687854192889
100000004529,0.0018519183308094895
100000004867,0.00279648791806406
100000005007,0.9918334487597805
100000005091,0.0030353210111720894
100000005125,0.003945791429466501
100000005513,0.002433657843835901
100000005649,0.9339988842113727
100000005719,0.0017673921299588518
100000005739,0.009503283069513094
100000005755,0.002636215967197556
100000005805,0.5601368506952998
100000005955,0.0007233453532153418
100000006005,0.12917045869437294
100000006013,0.002283867234066228
100000006081,0.15149176693199579
100000006123,0.13155322191069638
100000006395,0.0006265503674128199
100000006487,0.00014759018079248438
100000006539,0.713314709936762
100000006569,7.313079076474065e-05
100000006605,0.003420124477088082
100000006647,0.011608309631702313
100000006857,0.0022984213706491448
100000006933,0.0009430858593788128
100000006981,0.00223479377601733
100000007073,0.05040594224457957
100000007079,0.0015054981176716989
100000007283,0.0008758459625792627
100000007329,0.0036748269320663737
100000007367,0.22556999210361858
100000007409,0.00808943017279076
100000007457,0.014019500493831931
100000007533,0.0030812582632280777
100000007609,0.0009922657197677955
100000007639,0.00011148469052822482
100000007745,0.1654034505730491
100000007753,0.0021387648489369243
100000007785,0.0018052622356284878
100000008119,0.9987369363068005
100000008253,0.8940002217802285
100000008425,0.9836144428417427
100000008481,0.03629664865957711
100000008483,0.12844214782808705
100000008529,0.0014738591232296974
100000008565,0.0004465545406322343
100000008995,0.006391173336428536
100000009017,0.9982698504477232
100000009249,0.2698157243830395
100000009417,0.03971564736968038
100000009463,0.006630987310020507
100000009481,0.9454255674783234
100000009491,0.8921335446542159
100000009583,0.004249897440771072
100000009611,0.0012439096335009037
100000009743,0.0033256412864020412
100000009771,0.0007794523773730663
100000009773,0.999618533648123
100000009807,0.004263861120608484
100000009925,0.9994351417873975
100000010101,0.9922533469145771
100000010161,0.05825389855783331
100000010177,0.0023315622113273564
100000010199,0.9981770291468126
