userid,xgb_predict_roof_fold5_eta0.01_min_child_weight20_colsample_bytree0.5_max_depth10_subsample0.9_seed0
100000000013,0.011261548846960068
100000000111,0.8392438888549805
100000000127,0.06270192563533783
100000000231,0.2210059016942978
100000000379,0.0009071861859411001
100000000393,0.0011098021641373634
100000000423,0.011583404615521431
100000000459,0.09154995530843735
100000000465,0.003010356333106756
100000000471,0.02253992296755314
100000000637,0.8790678977966309
100000000695,0.9874420762062073
100000000745,0.016037339344620705
100000000755,0.004542026203125715
100000000867,0.9306191802024841
100000000949,0.009845592081546783
100000000975,0.770967960357666
100000001023,0.989564061164856
100000001195,0.0740366280078888
100000001231,0.024771438911557198
100000001295,0.0050765820778906345
100000001343,0.0026555133517831564
100000001505,0.9997205138206482
100000001557,0.006505557801574469
100000001683,0.01737225241959095
100000001711,0.0316045768558979
100000001803,0.002091143047437072
100000001955,0.08191238343715668
100000001963,0.0051820180378854275
100000002111,0.007909191772341728
100000002165,0.028015905991196632
100000002179,0.001552798319607973
100000002199,0.6429688930511475
100000002215,0.9267075061798096
100000002243,0.047174736857414246
100000002245,0.016433078795671463
100000002271,0.2159338742494583
100000002307,0.007078183814883232
100000002363,0.000720286276191473
100000002371,0.015142855234444141
100000002535,0.047371458262205124
100000002581,0.02218307927250862
100000002653,0.05626417696475983
100000002811,0.0007431558915413916
100000002873,0.10001767426729202
100000002879,0.0034445698838680983
100000003091,0.6338329315185547
100000003097,0.006734188180416822
100000003311,0.0007470570271834731
100000003461,0.9960293769836426
100000003483,0.001155648729763925
100000003559,0.00717037171125412
100000003611,0.9204912781715393
100000003639,0.0013682277640327811
100000003685,0.1329137235879898
100000003805,0.003174204844981432
100000003875,0.384714812040329
100000003891,0.0012405301677063107
100000003941,0.012368905358016491
100000004163,0.0062717897817492485
100000004223,0.01355821918696165
100000004277,0.06525281816720963
100000004297,0.5565507411956787
100000004303,0.022474709898233414
100000004317,0.0008398627396672964
100000004319,0.00034640944795683026
100000004359,0.010741453617811203
100000004429,0.005540957674384117
100000004453,0.006094933021813631
100000004529,0.0025016895961016417
100000004867,0.02162492461502552
100000005007,0.9846764206886292
100000005091,0.01768123172223568
100000005125,0.005152096971869469
100000005513,0.008066942915320396
100000005649,0.9052871465682983
100000005719,0.014997880905866623
100000005739,0.020287049934267998
100000005755,0.02291174605488777
100000005805,0.2838458716869354
100000005955,0.00916027370840311
100000006005,0.1113487184047699
100000006013,0.0028053640853613615
100000006081,0.07658986002206802
100000006123,0.12888741493225098
100000006395,0.009334409609436989
100000006487,0.0008069605682976544
100000006539,0.7430759072303772
100000006569,0.0011129772756248713
100000006605,0.01823565736413002
100000006647,0.018352728337049484
100000006857,0.0029351580888032913
100000006933,0.008218982256948948
100000006981,0.005993550643324852
100000007073,0.1468590348958969
100000007079,0.0013344116741791368
100000007283,0.006606058217585087
100000007329,0.0074575720354914665
100000007367,0.3483647406101227
100000007409,0.012403109110891819
100000007457,0.012169877998530865
100000007533,0.016191216185688972
100000007609,0.0033563231118023396
100000007639,0.0007993097533471882
100000007745,0.38033777475357056
100000007753,0.015374232083559036
100000007785,0.0011213148245587945
100000008119,0.995412290096283
100000008253,0.9327373504638672
100000008425,0.9773692488670349
100000008481,0.07134436815977097
100000008483,0.1998533308506012
100000008529,0.001472847885452211
100000008565,0.0011609526118263602
100000008995,0.021854320541024208
100000009017,0.993800699710846
100000009249,0.4463202655315399
100000009417,0.07797979563474655
100000009463,0.009508944116532803
100000009481,0.910443902015686
100000009491,0.7502340078353882
100000009583,0.012440434657037258
100000009611,0.0010648160241544247
100000009743,0.03089788928627968
100000009771,0.008691370487213135
100000009773,0.9930904507637024
100000009807,0.0032192450016736984
100000009925,0.9926079511642456
100000010101,0.9893118739128113
100000010161,0.0905638113617897
100000010177,0.00944561418145895
100000010199,0.9986228942871094
100000010239,0.00020129146287217736
100000010247,0.026167718693614006
100000010249,0.053607698529958725
100000010279,0.5798015594482422
100000010287,0.7956444025039673
100000010293,0.01346124429255724
100000010297,0.008217559196054935
100000011105,0.01429794542491436
100000011131,0.13633768260478973
100000011325,0.010483881458640099
100000011427,0.0065127210691571236
100000011573,0.002690078690648079
100000011591,0.1596599668264389
100000011653,0.0017105963779613376
100000011741,0.010086148045957088
100000011755,0.24859736859798431
100000011763,0.014812618494033813
100000011845,0.023474158719182014
100000011933,0.003162951208651066
100000012027,0.0024711887817829847
100000012133,0.002195220673456788
100000012137,0.041726358234882355
100000012213,0.015528202056884766
100000012219,0.010172106325626373
100000012235,0.008088234812021255
100000012277,0.08724115788936615
100000012341,0.003631423693150282
100000012367,0.0029488925356417894
100000012405,0.22460883855819702
100000012441,0.024792078882455826
100000012507,0.0003838468692265451
100000012713,0.0007516737096011639
100000012715,0.03734692186117172
100000012717,0.16026154160499573
100000012719,0.0038302249740809202
100000012793,0.004099132958799601
100000012867,0.9421474933624268
100000012885,0.42768698930740356
100000012889,0.0009167350362986326
100000012931,0.33116281032562256
100000012965,0.01355369295924902
100000012981,0.4295659363269806
100000013027,0.001136154867708683
100000013381,0.0009426465258002281
100000013429,0.008750502951443195
100000013461,0.014485795982182026
100000013471,0.17192089557647705
100000013499,0.7914782166481018
100000013669,0.02389632537961006
100000013673,0.002976752817630768
100000013837,0.013612612150609493
100000013965,0.032473862171173096
100000014029,0.9978950023651123
100000014143,0.12966307997703552
100000014259,0.13272546231746674
100000014271,0.8072646856307983
100000014311,0.001980877947062254
100000014315,0.04302871972322464
100000014383,0.01459724921733141
100000014421,0.05223318189382553
100000014423,0.0017888322472572327
100000014449,0.00699738459661603
100000014641,0.0009857950499281287
100000014679,0.011827435344457626
100000014745,0.0018840690609067678
100000014865,0.005892643705010414
100000014899,0.001152331125922501
100000014949,0.9826475977897644
100000014973,0.0012570321559906006
100000014981,0.0002786054683383554
100000015043,0.0030520062427967787
100000015129,0.3928923010826111
100000015145,0.003656195243820548
100000015153,0.004322943277657032
100000015213,0.006044722627848387
100000015223,0.612004816532135
100000015275,0.00753400893881917
