userid,xgb_predict_roof_fold3_eta0.015_min_child_weight20_colsample_bytree0.64_max_depth9_subsample0.81_seed7449
100000000013,0.01611027866601944
100000000111,0.8390660285949707
100000000127,0.15496809780597687
100000000231,0.10892313718795776
100000000379,0.0019415110582485795
100000000393,0.0010069995187222958
100000000423,0.018320532515645027
100000000459,0.02338581159710884
100000000465,0.0050138081423938274
100000000471,0.010602504014968872
100000000637,0.9495326280593872
100000000695,0.9872179627418518
100000000745,0.004068122245371342
100000000755,0.03430895134806633
100000000867,0.9263924956321716
100000000949,0.013819823041558266
100000000975,0.678452730178833
100000001023,0.9971822500228882
100000001195,0.06822019070386887
100000001231,0.025502510368824005
100000001295,0.010406394489109516
100000001343,0.009986266493797302
100000001505,0.9992795586585999
100000001557,0.014010277576744556
100000001683,0.032359663397073746
100000001711,0.01704726740717888
100000001803,0.0013132378226146102
100000001955,0.08293214440345764
100000001963,0.006491116713732481
100000002111,0.005624371115118265
100000002165,0.016390735283493996
100000002179,0.004320438019931316
100000002199,0.5253127813339233
100000002215,0.8048343062400818
100000002243,0.009831178933382034
100000002245,0.007492039352655411
100000002271,0.4112189710140228
100000002307,0.003322749864310026
100000002363,0.002249594312161207
100000002371,0.020056642591953278
100000002535,0.056529898196458817
100000002581,0.011390641331672668
100000002653,0.03931320086121559
100000002811,0.0010029618861153722
100000002873,0.07572497427463531
100000002879,0.002697588410228491
100000003091,0.7132916450500488
100000003097,0.007864739745855331
100000003311,0.0011716895969584584
100000003461,0.9941896200180054
100000003483,0.0011714977445080876
100000003559,0.008268351666629314
100000003611,0.8826555013656616
100000003639,0.002127676736563444
100000003685,0.07764710485935211
100000003805,0.0034887930378317833
100000003875,0.22176139056682587
100000003891,0.0011857625795528293
100000003941,0.010909621603786945
100000004163,0.02843259461224079
100000004223,0.019926590844988823
100000004277,0.044031985104084015
100000004297,0.4981430768966675
100000004303,0.03749891370534897
100000004317,0.0010608662851154804
100000004319,0.0008637411519885063
100000004359,0.006641433574259281
100000004429,0.0016594626940786839
100000004453,0.005805173423141241
100000004529,0.0017062900587916374
100000004867,0.021669065579771996
100000005007,0.928886353969574
100000005091,0.011345469392836094
100000005125,0.014966720715165138
100000005513,0.00752269709482789
100000005649,0.9755797386169434
100000005719,0.017886141315102577
100000005739,0.015685535967350006
100000005755,0.08119905740022659
100000005805,0.260718435049057
100000005955,0.020515255630016327
100000006005,0.12846501171588898
100000006013,0.003246483625844121
100000006081,0.11717336624860764
100000006123,0.208977609872818
100000006395,0.0058030737563967705
100000006487,0.0014689001254737377
100000006539,0.7694839835166931
100000006569,0.0016012127744033933
100000006605,0.00894904974848032
100000006647,0.019342856481671333
100000006857,0.003234945237636566
100000006933,0.005701583344489336
100000006981,0.007879137061536312
100000007073,0.17664559185504913
100000007079,0.0021672083530575037
100000007283,0.011837721802294254
100000007329,0.022598525509238243
100000007367,0.23079665005207062
100000007409,0.04606928676366806
100000007457,0.0036797202192246914
100000007533,0.021731995046138763
100000007609,0.013901523314416409
100000007639,0.0005006197025068104
100000007745,0.32063257694244385
100000007753,0.015128874219954014
100000007785,0.0009900078875944018
100000008119,0.9959663152694702
100000008253,0.9234678149223328
